canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-001033,West Siang,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,8361.155384251113,8361.155384251113,0.0,,,,,,,8361.155384251113,,
IND-001149,West Siang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1355.3444627360657,1333.427777565716,21.916685170349638,,,,,,,,1355.3444627360657,1333.427777565716
IND-000629,Changlang,Arunachal_Pradesh,1991,,True,NEW,5,1991,2025,5029.735962042137,4948.252676451549,81.48328559058791,,,,,4973.193940622871,4973.193940622871,5023.751921071409,5029.735962042137,4948.252676451549
IND-000630,Tawang,Arunachal_Pradesh,1991,2011.0,False,NEW,2,1991,2001,2335.219770590262,2335.219770590262,0.0,,,,,2335.219770590262,2335.219770590262,,,
IND-000631,Tirap,Arunachal_Pradesh,1991,2021.0,False,NEW,3,1991,2011,2171.4794283737606,2019.3050992620617,152.17432911169885,,,,,2171.4794283737606,2171.4794283737606,2019.3050992620617,,
IND-000632,West_Kameng,Arunachal_Pradesh,1991,,True,NEW,5,1991,2025,5030.825382968638,4801.626981535603,229.19840143303554,,,,,4801.626981535603,4801.626981535603,4962.138748345842,5030.825382968638,4916.455052728255
IND-000046,Abor Hills,Assam,1951,1961.0,False,ANCHOR,1,1951,1951,37044.45389794132,37044.45389794132,0.0,37044.45389794132,,,,,,,,
IND-001070,Baksa,Assam,2011,,True,NEW,3,2011,2025,2442.6939606159276,2430.368109355404,12.32585126052345,,,,,,,2442.6939606159276,2430.368109355404,2439.9128609143613
IND-000048,Balipara Frontier Tract,Assam,1951,1981.0,False,ANCHOR,3,1951,1971,13408.958841883028,13408.958841883028,0.0,13408.958841883028,13408.958841883028,13408.958841883028,,,,,,
IND-000516,Barpeta,Assam,1981,1991.0,False,NEW,1,1981,1981,3254.1471730193616,3254.1471730193616,0.0,,,,3254.1471730193616,,,,,
IND-000638,Barpeta,Assam,1991,2001.0,False,NEW,1,1991,1991,2866.10635503291,2866.10635503291,0.0,,,,,2866.10635503291,,,,
IND-000803,Barpeta,Assam,2001,2011.0,False,NEW,1,2001,2001,3254.1876470939305,3254.1876470939305,0.0,,,,,,3254.1876470939305,,,
IND-001062,Barpeta,Assam,2011,,True,NEW,3,2011,2025,2322.333530108819,2278.5500735632763,43.783456545542776,,,,,,,2322.333530108819,2278.5500735632763,2289.1362597939815
IND-001199,Biswanath,Assam,2021,2025.0,False,NEW,1,2021,2021,1782.8821581204222,1782.8821581204222,0.0,,,,,,,,1782.8821581204222,
IND-001373,Biswanath,Assam,2025,,True,NEW,1,2025,2025,2220.1140381160167,2220.1140381160167,0.0,,,,,,,,,2220.1140381160167
IND-000514,Bongaigaon,Assam,1981,1991.0,False,NEW,1,1981,1981,2262.7300291362826,2262.7300291362826,0.0,,,,2262.7300291362826,,,,,
IND-000639,Bongaigaon,Assam,1991,2001.0,False,NEW,1,1991,1991,2765.653636538783,2765.653636538783,0.0,,,,,2765.653636538783,,,,
IND-000802,Bongaigaon,Assam,2001,2011.0,False,NEW,1,2001,2001,2936.8241069565947,2936.8241069565947,0.0,,,,,,2936.8241069565947,,,
IND-001065,Bongaigaon,Assam,2011,,True,NEW,3,2011,2025,1118.1042002162337,1061.8526332282458,56.25156698798787,,,,,,,1061.8526332282458,1088.1755009897,1118.1042002162337
IND-000010,Cachar,Assam,1951,1981.0,False,ANCHOR,3,1951,1971,6939.865329111258,6939.865329111258,0.0,6939.865329111258,6939.865329111258,6939.865329111258,,,,,,
IND-000540,Cachar,Assam,1981,1991.0,False,NEW,1,1981,1981,3826.3754280742737,3826.3754280742737,0.0,,,,3826.3754280742737,,,,,
IND-000640,Cachar,Assam,1991,2001.0,False,NEW,1,1991,1991,4558.908692679175,4558.908692679175,0.0,,,,,4558.908692679175,,,,
IND-000807,Cachar,Assam,2001,,True,NEW,4,2001,2025,3826.4084233586777,3781.9556734625507,44.45274989612699,,,,,,3826.4084233586777,3781.9556734625507,3783.329437247254,3783.8013060555368
IND-001197,Charaideo,Assam,2021,,True,NEW,2,2021,2025,1068.1810339706828,1013.0087298250381,55.172304145644716,,,,,,,,1068.1810339706828,1013.0087298250381
IND-001066,Chirang,Assam,2011,,True,NEW,3,2011,2025,1931.8955413019653,1912.7881825672075,19.10735873475778,,,,,,,1931.8955413019653,1926.5462272466796,1912.7881825672075
