canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000944,Guna,Madhya Pradesh,2011,,True,NEW,3,2011,2025,6434.706,6380.537,54.169,,,,,,,6434.706,6382.474,6380.537
IND-000397,Gwalior,Madhya Pradesh,1961,2001.0,False,NEW,4,1961,1991,5163.5,5163.446,0.054,,5163.5,5163.5,5163.446,5163.469,,,,
IND-000864,Gwalior,Madhya Pradesh,2001,,True,NEW,4,2001,2025,4563.25,4475.422,87.827,,,,,,4555.559,4475.422,4562.963,4563.25
IND-000872,Harda,Madhya Pradesh,2001,,True,NEW,4,2001,2025,3341.419,3316.489,24.93,,,,,,3326.52,3316.489,3336.039,3341.419
IND-000186,Hoshangabad,Madhya Pradesh,1951,1961.0,False,ANCHOR,1,1951,1951,15145.523,15145.523,0.0,15145.523,,,,,,,,
IND-000398,Hoshangabad,Madhya Pradesh,1961,2001.0,False,NEW,4,1961,1991,10006.313,10006.262,0.051,,10006.313,10006.313,10006.313,10006.262,,,,
IND-000873,Hoshangabad,Madhya Pradesh,2001,,True,NEW,4,2001,2025,6685.98,6676.074,9.906,,,,,,6679.663,6676.074,6685.663,6685.98
IND-000183,Jabalpur,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,10167.85,10167.83,0.02,10167.842,10167.842,10167.842,10167.83,10167.85,,,,
IND-000875,Jabalpur,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5096.585,4923.378,173.207,,,,,,5051.449,4923.378,5096.585,5093.885
IND-000950,Jhabua,Madhya Pradesh,2011,,True,NEW,3,2011,2025,3508.647,3443.335,65.312,,,,,,,3508.647,3443.583,3443.335
IND-000874,Katni,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5126.324,5054.501,71.822,,,,,,5116.48,5126.324,5070.432,5054.501
IND-000952,Khandwa (East Nimar),Madhya Pradesh,2011,,True,NEW,3,2011,2025,7476.703,7297.395,179.308,,,,,,,7297.395,7476.703,7469.614
IND-000185,Mandala,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,13243.486,13243.484,0.002,13243.484,13243.484,13243.484,13243.484,13243.486,,,,
IND-000877,Mandla,Madhya Pradesh,2001,,True,NEW,4,2001,2025,7605.646,7444.158,161.488,,,,,,7444.158,7605.646,7510.452,7512.05
IND-000869,Mandsaur,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5552.874,5336.67,216.204,,,,,,5545.561,5336.67,5552.874,5548.476
IND-000863,Morena,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5129.433,4986.385,143.048,,,,,,5015.033,5129.433,4986.936,4986.385
