canonical_key,display_name,state,census_year,area_km2,fill_method,fill_source_ck,fill_confidence
IND-001141,East Kameng,Arunachal Pradesh,2025,4410.349157229893,DIRECT,IND-001141,1.0
IND-001137,East Siang,Arunachal Pradesh,1951,1636.777255,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.2401
IND-001137,East Siang,Arunachal Pradesh,1961,1636.784104,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.2401
IND-001137,East Siang,Arunachal Pradesh,1971,1636.784104,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.2401
IND-001137,East Siang,Arunachal Pradesh,1981,1636.791509,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.343
IND-001137,East Siang,Arunachal Pradesh,1991,1636.792258,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.49
IND-001137,East Siang,Arunachal Pradesh,2001,1636.839815,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.49
IND-001137,East Siang,Arunachal Pradesh,2011,1636.813124,LINEAGE_BACKFILL,IND-000805|IND-001034|IND-001038,0.7
IND-001137,East Siang,Arunachal Pradesh,2021,1637.454895354874,DIRECT,IND-001137,1.0
IND-001137,East Siang,Arunachal Pradesh,2025,1680.0097817023045,DIRECT,IND-001137,1.0
IND-001151,Kamle,Arunachal Pradesh,1951,1301.49629,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.1681
IND-001151,Kamle,Arunachal Pradesh,1961,1301.518719,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.1681
IND-001151,Kamle,Arunachal Pradesh,1971,1301.518719,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.1681
IND-001151,Kamle,Arunachal Pradesh,1981,1301.519087,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.2401
IND-001151,Kamle,Arunachal Pradesh,1991,1301.525607,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.343
IND-001151,Kamle,Arunachal Pradesh,2001,1301.534943,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.49
IND-001151,Kamle,Arunachal Pradesh,2011,1305.618418,LINEAGE_BACKFILL,IND-000776|IND-000804|IND-000805|IND-001032|IND-001033|IND-001035|IND-001036,0.7
IND-001151,Kamle,Arunachal Pradesh,2021,1305.6665194586822,DIRECT,IND-001151,1.0
IND-001151,Kamle,Arunachal Pradesh,2025,1378.9553460666025,DIRECT,IND-001151,1.0
IND-001364,Kra Daadi,Arunachal Pradesh,1951,1675.515523,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.1681
IND-001364,Kra Daadi,Arunachal Pradesh,1961,1675.543876,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.2401
IND-001364,Kra Daadi,Arunachal Pradesh,1971,1675.543876,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.2401
IND-001364,Kra Daadi,Arunachal Pradesh,1981,1675.544172,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.2401
IND-001364,Kra Daadi,Arunachal Pradesh,1991,1675.552216,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.2401
IND-001364,Kra Daadi,Arunachal Pradesh,2001,1675.563822,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.343
IND-001364,Kra Daadi,Arunachal Pradesh,2011,1760.791302,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.49
IND-001364,Kra Daadi,Arunachal Pradesh,2021,1760.002666,LINEAGE_BACKFILL,IND-001032|IND-001139|IND-001140|IND-001142,0.7
IND-001364,Kra Daadi,Arunachal Pradesh,2025,1760.2599755762333,DIRECT,IND-001364,1.0
