event_id,event_type,effective_year,pre_vintage,post_vintage,predecessor,successor,predecessor_ck,successor_ck,transferred_area_km2,measurement_status,predecessor_match_method,successor_match_method
2750d39d7c822c3e2b983105d530c883,SPLIT,1973,1971.0,1981,Gaya,Nawada,IND-000107,IND-000544,2481.0543,MEASURED,STATE_SCOPED,STATE_SCOPED
b05f2fb9da6c992e8e674c3e7f5fec1b,SPLIT,1973,1971.0,1981,Purnea,Katihar; Purnia,,,,PARTIALLY_RESOLVED,,
04ab75c6908f3a996ff518837c837dad,SPLIT,1973,1971.0,1981,Saran,Gopalganj,IND-000109,IND-000547,2035.0005,MEASURED,STATE_SCOPED,STATE_SCOPED
04ab75c6908f3a996ff518837c837dad,SPLIT,1973,1971.0,1981,Saran,Saran,IND-000109,IND-000545,2650.8353,MEASURED,STATE_SCOPED,STATE_SCOPED
04ab75c6908f3a996ff518837c837dad,SPLIT,1973,1971.0,1981,Saran,Siwan,IND-000109,IND-000546,2216.6126,MEASURED,STATE_SCOPED,STATE_SCOPED
7da45b67e91fb9a4cbdd750a00fcaf8e,SPLIT,1973,1971.0,1981,Durg,Durg,IND-000191,IND-000455,8535.388,PARTIALLY_RESOLVED,NAME_ONLY,NAME_ONLY
75e2bb90f3809213ac1113474a1181c5,SPLIT,1973,1971.0,1981,Karnal,Karnal,IND-000241,IND-000563,3819.6971,MEASURED,STATE_SCOPED,STATE_SCOPED
75e2bb90f3809213ac1113474a1181c5,SPLIT,1973,1971.0,1981,Karnal,Kurukshetra,IND-000241,IND-000562,3945.4587,MEASURED,STATE_SCOPED,STATE_SCOPED
8a0fa550c767c1eb54fedbd02dc5b23f,SPLIT,1973,1971.0,1981,Kohima,Kohima,IND-000371,IND-000468,3895.3334,MEASURED,STATE_SCOPED,STATE_SCOPED
8a0fa550c767c1eb54fedbd02dc5b23f,SPLIT,1973,1971.0,1981,Kohima,Phek,IND-000371,IND-000469,1781.3332,MEASURED,STATE_SCOPED,STATE_SCOPED
560e65e40b734d9592ae066a5668b9e4,SPLIT,1973,1971.0,1981,Mokokchung,Mokokchung,IND-000372,IND-000472,1603.2251,MEASURED,STATE_SCOPED,STATE_SCOPED
560e65e40b734d9592ae066a5668b9e4,SPLIT,1973,1971.0,1981,Mokokchung,Wokha,IND-000372,IND-000471,1632.3305,MEASURED,STATE_SCOPED,STATE_SCOPED
